Full name (Google Translate)	Birth Day	Birth Month	Birth Year	Death Day	Death Month	Death Year	Specialty	Source	______ ___	____ ________	____ ______	_____________
Lipanov Aleksei Matveevich	3	3	1935				Specialist in the design of aircraft engines, design theory, solid fuels and charges are	http://www.isaran.ru/?q=ru/persostav	_______ ________ __________	03.05.1932	30.11.2012	__________ _ _______ ______________ _________, _______________ _ __________ _______ _______ _____________ ________ __________, ___________ _____________ _______-_____________ ______, ______________ __________
Gennady Maltsev	28	4	1935	26	3	2013	Specialist in theory of law	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	15.04.1900	13.07.1978	______
Medvedev Igor Pavlovich	1	11	1935				A specialist in the history of Byzantium problems, the Western European Middle Ages and the Byzantine-Russian relations	http://www.isaran.ru/?q=ru/persostav	_______ _______ __________	16.10.1828	24.01.1896	______, _________, _______
Mizin Igor	12	4	1935	8	9	1999	Expert in the field of computer technology, new information and communication technologies	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________	22.06.1757	12.02.1813	_____
Vladimir Minkin Isaacovich	4	3	1935				Specialist in physical and organic chemistry	http://www.isaran.ru/?q=ru/persostav	__________ _______ _____________	14.09.1885	15.02.1967	__________ _ _______ _____________ ___________ _ _____________
Mironenko Valery	1	3	1935	26	1	2000	Specialist in the field of hydrogeology and engineering geology	http://www.isaran.ru/?q=ru/persostav	________ ____ __________	16.10.1899	11.11.1968	_____
Mitropol'skii Yuri Ivanovich	30	5	1935				Expert in the field of integrated design of high performance computing	http://www.isaran.ru/?q=ru/persostav	__________ _____ __________	25.03.1932		__________ _ _______ ________ ________
Mitrofanov Felix P.	22	6	1935				Expert in the field of geology and petrology	http://www.isaran.ru/?q=ru/persostav	________ (________) ____ __________ (______ ________)	10.10.1740	19.02.1801	_______
Mikhailovsky Anatoly Borisovich	22	5	1935				Specialist in high-temperature plasma physics and astrophysics	http://www.isaran.ru/?q=ru/persostav	_________ _________ _________, ____	03.01.1734	27.09.1811	_______________ _______, ____________
Nakoryakov Vladimir E.	26	7	1935				Specialist in thermal physics and fluid mechanics of heterogeneous systems	http://www.isaran.ru/?q=ru/persostav	_________ ______ _________	31.01.1932		__________ _ _______ ______________ _______________ ______ _ ___________ _______, __________ __ ____________
Nickanorov Anatoly Maksimovic	22	5	1935				Specialist in hydrochemistry freshwater ecosystems under anthropogenic impact	http://www.isaran.ru/?q=ru/persostav	_________ ________ _____________, ____	13.09.1770	07.01.1857	_______________ _______
Novikov Igor D.	10	11	1935				Astronomer. Expert in the field of relativistic astrophysics and cosmology	http://www.isaran.ru/?q=ru/persostav	_________ ______ ___________, ____	08.11.1794	28.03.1882	_______________ _______, ________
Ottomans Ahmed Ibrahimovic	1	4	1935				Specialist in the history of the peoples of Russia, socio-economic and political history	http://www.isaran.ru/?q=ru/persostav	_________ ______ ___________	29.09.1894	13.02.1984	_____
Mikhail A. Ostrovsky	22	2	1935				Expert in the field of molecular physiology	http://www.isaran.ru/?q=ru/persostav	______ _______ __________	05.02.1942	13.09.1999	__________ _ _______ ____________ _________ __________ ______
Pashinin Pavel Pavlovich	1	5	1935				Expert in the field of laser physics	http://www.isaran.ru/?q=ru/persostav	______ _____ __________	27.07.1796	05.01.1876	_______, _________
Pokhozhaev Stanislav Ivanovich	24	8	1935				Expert in the field of nonlinear functional analysis and nonlinear differential equations	http://www.isaran.ru/?q=ru/persostav	______ _______ __________	02.02.1889	15.09.1965	__________-_________, _______
Friedrich Pfeiffer (Pfeiffer Friedrich)	22	2	1935				Mechanic, an expert in the field of mechanics, process control and engineering, robotics	http://www.isaran.ru/?q=ru/persostav	______ _______ _________ (_______ _____ _________)	15.04.1793	11.11.1864	________, _________
Safonov Youri	23	4	1935				Specialist in the field of geology of gold deposits	http://www.isaran.ru/?q=ru/persostav	______ ______ _________ (______ _________ _______)	10.01.1772	09.01.1851	________, _________
Yuri Pavlovich Semenov	20	4	1935				Expert in the field of space technology and energy manned space complexes	http://www.isaran.ru/?q=ru/persostav	______ ______ __________ (______ _________)	10.07.1822	28.03.1908	_____
Serebrjakov Edward Prokofievich	11	4	1935				One skilled in organic and bioorganic chemistry	http://www.isaran.ru/?q=ru/persostav	______ _____ __________ (____ _________)	25.04.1819	14.04.1905	________
Simakov Kirill	1	2	1935	14	4	2004	Expert in the field of stratigraphy	http://www.isaran.ru/?q=ru/persostav	______ ____ ____________	07.02.1870	26.02.1944	_________, _______
Yakov G. Sinai	21	9	1935				Specialist in ergodic theory, dynamical systems theory, mathematical problems of statistical physics and the theory of probability	http://www.isaran.ru/?q=ru/persostav	_________ (_________-___________) _________ __________	29.01.1877	25.01.1974	_________
Vladimir Petrovich Skulachev	21	2	1935				Specialist in the field of biochemistry, energy metabolism	http://www.isaran.ru/?q=ru/persostav	___________ ________ __________	29.04.1914	22.02.1998	__________ _ _______ ____________, ____________ _ _______ ________
Slysh Vyacheslav	19	11	1935	22	9	2008	Specialist in the field of experimental and theoretical astrophysics	http://www.isaran.ru/?q=ru/persostav	__________ ________ _____________	15.07.1914	09.12.2005	__________ _ _______ ________ _ ________
Sobolev Gennadiy	7	4	1935				Specialist in the study of physics and hearth earthquake precursors, creating new methods of geophysical exploration of minerals	http://www.isaran.ru/?q=ru/persostav	________ ____ __________	28.07.1926	16.08.1995	__________ _ _______ ___________ _____
Nikolai V. Sobolev	28	5	1935				Specialist in the field of petrology and mineralogy	http://www.isaran.ru/?q=ru/persostav	__________ ______ __________	16.11.1902	27.10.1995	__________ _ _______ __________
Mikhail Sokolovsky	29	3	1935				Specialist in the field of solid-energy plants.	http://www.isaran.ru/?q=ru/persostav	______ ______ (_______)	22.11.1753	11.06.1828	_______ _ _________
Anatoly Sorokin	12	8	1935				Specialist in paleography, minerageny and Meso-Cenozoic tectonics structures Far East	http://www.isaran.ru/?q=ru/persostav	_______ (_______) ____ _______ ______	03.09.1874	13.08.1957	________, _________, ________
Lucky Vadim M.	24	11	1935				Expert in the field of physical metallurgy of steel and alloys	http://www.isaran.ru/?q=ru/persostav	________ ______ _________	28.06.1893	26.12.1966	________, __________ _ _______ ________ ________
Toshchenko Jean Terent'evich	3	1	1935				Expert in the field of theoretical and methodological problems of sociology, theoretical and applied problems of political sociology, sociological problems of labor and management	http://www.isaran.ru/?q=ru/persostav	________ ______ __________	16.02.1945	14.10.1997	__________ _ _______ ______________ ______ ___________ _________, ______ ________________ ___
Vladimir Utkin	26	2	1935				Expert in the field of nuclear geophysics, geodynamics, Geoecology	http://www.isaran.ru/?q=ru/persostav	________ _______ ________	12.12.1919	19.10.2008	__________ _ _______ ___________ _______ ______________ _________
Khublarian Martin Gaykovich	5	3	1935	27	7	2009	Specialist in hydrology, development of theoretical problems of formation of water resources and water quality, protection	http://www.isaran.ru/?q=ru/persostav	________ ____ __________	18.07.1936		_________. __________ _ _______ _______________ _______.
Zeng Tsintsun	4	5	1935				Expert in the field of numerical weather prediction methods, hydrometeorology	http://www.isaran.ru/?q=ru/persostav	_________ ____ __________	02.08.1946		_________, __________ _ _______ ______ ____________ __________, ________________ ___ _ _________ __________-_____
Black Evgeny	11	12	1935				Specialist in the field of archeology and ancient mining and metallurgical production in Eurasia of the early metal (VI century BC)	http://www.isaran.ru/?q=ru/persostav	_______-__________ _________ __________	01.07.1804	31.01.1882	_______________ _ _______ _______
Igor Chernyshev	21	10	1935				Specialist in the field of isotope geochemistry and isotopic geochronology	http://www.isaran.ru/?q=ru/persostav	______ ______ (Suzuki Atsuto)			_____
Chuvashov Boris	14	11	1935				Expert in the field of paleontology and stratigraphy	http://www.isaran.ru/?q=ru/persostav	_______ ________ __________	07.06.1880	09.02.1967	_______, _______, _______
Chufrin Gennady Illarionovich	21	7	1935				Specialist in the history and economy of the countries of Southeast Asia	http://www.isaran.ru/?q=ru/persostav	______ ___-___-____, _____ (SOULAVIE, Jean Louis Giraud)	08.06.1752	11.03.1813	_________, _________
Shakhgildyan Vahan Vaganovich	28	2	1935	3	4	2012	Specialist in Telecommunications and Informatics	http://www.isaran.ru/?q=ru/persostav	_________ ______ __________	10.06.1938		__________ _ _______ __________________ ______ ___________ __________
Jaremenko Yuri	8	8	1935	18	9	1996	Expert in the field of inter-branch analysis, theory and methodology of social and economic forecasting	http://www.isaran.ru/?q=ru/persostav	_______ ____ ________	04.02.1930	02.10.2002	__________ _ _______ _________________ (_______ _ _______) ______
Evgenii Borisovich Aleksandrov	13	4	1936				Specialist in physical optics and quantum electronics	http://www.isaran.ru/?q=ru/persostav	________-____ _________ ________	16.09.1857	18.09.1927	________-_________, ______, ___________ _______
Altukhov Yuri Petrovich	11	10	1936	27	10	2006	Expert in the field of population ecological, evolutionary and biochemical genetics	http://www.isaran.ru/?q=ru/persostav	______ _______ _________	18.04.1854	14.09.1922	___________
Annin Boris Dmitrievich	18	10	1936				Expert in the field of solid mechanics	http://www.isaran.ru/?q=ru/persostav	___ _____	29.12.1931		__________ _ _______ ___________, ______ __________ _ ____________
Dmitrii Viktorovich Anosov	30	11	1936				Expert in the theory of differential equations and related problems of geometry and topology	http://www.isaran.ru/?q=ru/persostav	________ ______ __________	16.11.1928	01.04.1991	__________ _ _______ __________ ________ _ _______ _____________ _ _______ __________ ___________ _______
Arsky Yury	25	11	1936				Expert in the field of system geological and feasibility studies for the integrated development of mineral resources	http://www.isaran.ru/?q=ru/persostav	________ ______ __________	06.04.1952		__________ _ _______ _____________ _____________ _____ __________ _ ____________ _______ ________
Gunter Blobel (Blobel Günter)	21	5	1936				Biologist, an expert in the field of molecular and cell biology	http://www.isaran.ru/?q=ru/persostav	_____ ______ ___________	31.12.1936		__________ _ _______ ______ ________ ____ _ ________________
Enrico Bonatti	28	9	1936				Specialist in marine geology, mineralization processes and geotectonic	http://www.isaran.ru/?q=ru/persostav	______ ______ _________	12.07.1926		__________ _ _______ ____________, ________ ________ _ _________
Borukaev Chermen Beybulatovich	2	8	1936	7	9	1998	Specialist in the field of tectonics, including Precambrian formations	http://www.isaran.ru/?q=ru/persostav	______ ______ ________	22.09.1949		__________ _ _______ _______ _______________ _____________ ______________ _ ______________ ______ ______________ __________ _ _____________ ___ _ _ ___________ _______ __________ _________________ _______
Sergey Bugaev	3	8	1936	3	4	2002	Specialist in the field of electronics, Electrophysics	http://www.isaran.ru/?q=ru/persostav	______-_______ _________ __________	18.09.1817	24.03.1903	________-_________
Vzdornov Gerold Ivanovich	17	11	1936				Specialist in the history of ancient art and culture	http://www.isaran.ru/?q=ru/persostav	__________ ______ ________	03.03.1828	08.07.1901	_______, _______ __________
Galimov Eric M.	29	7	1936				Expert in the field of stable isotope geochemistry, geochemistry carbon geochemistry of organic matter	http://www.isaran.ru/?q=ru/persostav	________ ____ __________	02.08.1751	06.01.1836	_______ _______, ________, __________ ____ _ _________
Gluschenko Victor Y.	14	5	1936				Expert in the field of surface chemistry of the solid body and its applications to problems of complex processing of mineral processing solutions and seawater	http://www.isaran.ru/?q=ru/persostav	______ _____ __________	05.08.1917	02.12.1974	_____________
Sergey Goldin	28	1	1936	18	5	2007	Expert in the theory and practice of geophysical (seismic) methods for prospecting and exploration of oil and gas fields	http://www.isaran.ru/?q=ru/persostav	______ ____ ________	08.02.1868	17.09.1928	______, ___________
